date,permno,dn_gold,dn_not_gold,r,rf,r_mkt,r_gld,date1,firm name
16437,89692,1,0,-0.065341,4.79488E-05,-0.026517818,-0.036073,2005m1,KINROSS GOLD CORP
16468,89692,1,0,0.009119,5.52449E-05,0.022697801,0.030791,2005m2,KINROSS GOLD CORP
16496,89692,1,0,-0.096386,6.83199E-05,-0.016850591,-0.016085,2005m3,KINROSS GOLD CORP
16527,89692,1,0,-0.108333,7.15995E-05,-0.025221592,0.012377,2005m4,KINROSS GOLD CORP
16557,89692,1,0,-0.003738,7.34756E-05,0.037993193,-0.039216,2005m5,KINROSS GOLD CORP
16588,89692,1,0,0.144465,7.58995E-05,0.011474352,0.042977,2005m6,KINROSS GOLD CORP
16618,89692,1,0,-0.088525,8.11338E-05,0.04332678,-0.014273,2005m7,KINROSS GOLD CORP
16649,89692,1,0,0.136691,8.83692E-05,-0.006014118,0.013545,2005m8,KINROSS GOLD CORP
16680,89692,1,0,0.21519,9.22463E-05,0.010593397,0.076037,2005m9,KINROSS GOLD CORP
16710,89692,1,0,-0.091146,8.57937E-05,-0.013740895,-0.006424,2005m10,KINROSS GOLD CORP
16741,89692,1,0,0.080229,0.000102214,0.034165464,0.05819,2005m11,KINROSS GOLD CORP
16771,89692,1,0,0.222812,0.000108115,0.003497276,0.050509,2005m12,KINROSS GOLD CORP
16802,89692,1,0,0.251627,0.000109467,0.040057153,0.099263,2006m1,KINROSS GOLD CORP
16833,89692,1,0,-0.202773,0.000114735,-0.001628355,-0.011111,2006m2,KINROSS GOLD CORP
16861,89692,1,0,0.188044,0.000122255,0.018970178,0.036205,2006m3,KINROSS GOLD CORP
16892,89692,1,0,0.120768,0.000127023,0.013077589,0.12031,2006m4,KINROSS GOLD CORP
16922,89692,1,0,-0.102857,0.00012549,-0.0310251,-0.013212,2006m5,KINROSS GOLD CORP
16953,89692,1,0,-0.009099,0.000129768,-0.00031823,-0.046707,2006m6,KINROSS GOLD CORP
16983,89692,1,0,0.063361,0.000122283,-0.009683346,0.031521,2006m7,KINROSS GOLD CORP
17014,89692,1,0,0.210708,0.000137031,0.025151808,-0.013775,2006m8,KINROSS GOLD CORP
17045,89692,1,0,-0.10699,0.000139857,0.019410975,-0.045272,2006m9,KINROSS GOLD CORP
17075,89692,1,0,0.054313,0.000125072,0.034900714,0.012948,2006m10,KINROSS GOLD CORP
17106,89692,1,0,-0.050758,0.00014149,0.025525862,0.068891,2006m11,KINROSS GOLD CORP
17136,89692,1,0,-0.051875,0.000143203,0.010861081,-0.018326,2006m12,KINROSS GOLD CORP
17167,89692,1,0,0.119529,0.000129323,0.019592071,0.025629,2007m1,KINROSS GOLD CORP
17198,89692,1,0,0.058647,0.000135062,-0.014020795,0.025451,2007m2,KINROSS GOLD CORP
17226,89692,1,0,-0.020597,0.000142027,0.012952416,-0.011131,2007m3,KINROSS GOLD CORP
17257,89692,1,0,-0.033358,0.000138453,0.039758045,0.020535,2007m4,KINROSS GOLD CORP
17287,89692,1,0,0.00075,0.000130343,0.038909491,-0.023103,2007m5,KINROSS GOLD CORP
17318,89692,1,0,-0.124438,0.000130377,-0.014821285,-0.019378,2007m6,KINROSS GOLD CORP
17348,89692,1,0,0.111301,0.000116709,-0.031721417,0.02365,2007m7,KINROSS GOLD CORP
17379,89692,1,0,-0.058552,0.000137021,0.01169362,0.011096,2007m8,KINROSS GOLD CORP
17410,89692,1,0,0.225859,0.000114552,0.04083449,0.105081,2007m9,KINROSS GOLD CORP
17440,89692,1,0,0.313752,9.24765E-05,0.028808465,0.069514,2007m10,KINROSS GOLD CORP
17471,89692,1,0,-0.118394,0.000106659,-0.035230383,-0.016535,2007m11,KINROSS GOLD CORP
17501,89692,1,0,0.060519,0.000100275,-0.00436252,0.066477,2007m12,KINROSS GOLD CORP
17532,89692,1,0,0.20163,7.27023E-05,-0.062072419,0.108416,2008m1,KINROSS GOLD CORP
17563,89692,1,0,0.121664,4.32206E-05,-0.021622278,0.052298,2008m2,KINROSS GOLD CORP
17592,89692,1,0,-0.106855,5.68492E-05,-0.010335678,-0.059992,2008m3,KINROSS GOLD CORP
17623,89692,1,0,-0.144731,3.29297E-05,0.051065568,-0.041588,2008m4,KINROSS GOLD CORP
17653,89692,1,0,0.056055,2.90371E-05,0.023818126,0.009232,2008m5,KINROSS GOLD CORP
17684,89692,1,0,0.182273,5.46236E-05,-0.078533299,0.045169,2008m6,KINROSS GOLD CORP
